id,status,score,recommendedAction,source,company,title,location,remoteType,url,matchReasons,missingSkills,firstSeenAt,lastSeenAt
9c45ec4dcca5,drafted,100,draft,linkedin,Skip to main content,"Machine Learning Intern/Co-op (Fall, 2026)",Remote,remote,https://www.linkedin.com/jobs/view/machine-learning-intern-co-op-fall-2026-at-cohere-4414192445?position=4&pageNum=0&trackingId=dVeQeLAsIyxV8AkXrFnq2w%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches ai; matches nlp; matches transformer; penalty: senior,rag,2026-05-17T07:11:07.575Z,2026-05-17T07:11:07.575Z
b9192c5c0d80,drafted,100,draft,linkedin,Skip to main content,Artificial Intelligence & Machine Learning Intern (Entry Level),Remote,remote,https://in.linkedin.com/jobs/view/artificial-intelligence-machine-learning-intern-entry-level-at-leostoy-tech-ai-4415430136?position=5&pageNum=0&trackingId=vch5b7iIrmyDmNxkH%2FmPfQ%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches artificial intelligence; matches ai; matches nlp; penalty: senior,sql,2026-05-17T07:11:07.576Z,2026-05-17T07:11:07.576Z
fcd38baace90,drafted,100,draft,linkedin,Skip to main content,Agentic AI - Software Development Intern,Remote,remote,https://www.linkedin.com/jobs/view/agentic-ai-software-development-intern-at-nutanix-indonesia-4415816664?position=8&pageNum=0&trackingId=AlYk9pN3bs3tIN5fDIZIIQ%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches ai; matches natural language processing; matches llm; penalty: senior,rag; langchain,2026-05-17T07:11:07.577Z,2026-05-17T07:11:07.577Z
6ff07517a2bf,drafted,100,draft,linkedin,Skip to main content,Regulatory Affairs Intern,Remote,remote,https://es.linkedin.com/jobs/view/regulatory-affairs-intern-at-roche-4413060479?position=1&pageNum=0&trackingId=j1sVx1KKjCxVcvwMjiu%2B0A%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches ai; matches nlp; matches natural language processing; matches llm; penalty: senior,rag,2026-05-17T07:11:07.578Z,2026-05-17T07:11:07.578Z
b4551a8e3419,drafted,100,draft,linkedin,Skip to main content,Artificial Intelligence & Machine Learning Intern (Entry Level),Remote,remote,https://in.linkedin.com/jobs/view/artificial-intelligence-machine-learning-intern-entry-level-at-leostoy-tech-ai-4415430136?position=1&pageNum=0&trackingId=Lczy05G9yIxJBZh47UteyQ%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches artificial intelligence; matches ai; matches nlp; penalty: senior,sql,2026-05-17T07:11:07.578Z,2026-05-17T07:11:07.578Z
c31e80352ac4,drafted,100,draft,linkedin,Skip to main content,Machine Learning Intern/Co-op (Fall 2026),Remote,remote,https://www.linkedin.com/jobs/view/machine-learning-intern-co-op-fall-2026-at-pathai-4309502929?position=5&pageNum=0&trackingId=gPJIv8r8bpknw5JSblyX5Q%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches artificial intelligence; matches ai; matches pytorch; penalty: senior,rag; mlops,2026-05-17T07:11:07.579Z,2026-05-17T07:11:07.579Z
a49983ebc7e4,drafted,100,draft,linkedin,Skip to main content,Machine Learning Engineering Intern,Remote,remote,https://uk.linkedin.com/jobs/view/machine-learning-engineering-intern-at-snap-inc-4397178555?position=7&pageNum=0&trackingId=pf%2Foih6PGsdjiOChyBpDxg%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches ai; matches llm; matches transformer; penalty: senior,aws; rag,2026-05-17T07:11:07.580Z,2026-05-17T07:11:07.580Z
95404b27116d,drafted,90,draft,linkedin,Skip to main content,"Software Engineer, ML Platform (Internship)",Remote,remote,https://www.linkedin.com/jobs/view/software-engineer-ml-platform-internship-at-woven-by-toyota-4364199843?position=6&pageNum=0&trackingId=XW6qEQttnZ52ki9L3%2BhBVw%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches ai; matches pytorch; mentions research; penalty: senior,aws; mlops,2026-05-17T07:11:07.581Z,2026-05-17T07:11:07.581Z
c73776f68d5e,drafted,89,draft,linkedin,Skip to main content,Senior AI Scientist,Remote,remote,https://es.linkedin.com/jobs/view/senior-ai-scientist-at-pearson-4381836540?position=5&pageNum=0&trackingId=Z1Re0Qo0CqKEa%2BmfWwYYsA%3D%3D,title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches artificial intelligence; matches ai; matches nlp; matches pytorch; penalty: senior; penalty: lead,aws; sql; mlops,2026-05-17T07:11:07.581Z,2026-05-17T07:11:07.581Z
e97126a5a71a,drafted,89,draft,linkedin,Skip to main content,Senior AI Scientist,Remote,remote,https://pl.linkedin.com/jobs/view/senior-ai-scientist-at-pearson-4381831742?position=6&pageNum=0&trackingId=uBJxhpf9kizPgfNAV6H%2BYQ%3D%3D,title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches machine learning; matches artificial intelligence; matches ai; matches nlp; matches pytorch; penalty: senior; penalty: lead,aws; sql; mlops,2026-05-17T07:11:07.582Z,2026-05-17T07:11:07.582Z
